Payee Name,Purpose,City,State,Zip,Payment Date,Amount,Memo Code
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-02-03","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-03-02","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-05-01","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-04-01","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-06-01","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-11-27","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-09-01","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-08-03","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-11-02","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-10-01","$653", 
129 CHURCH ST LLC,OFFICE RENT,NEW HAVEN,CT,06510,"2015-07-06","$653", 
ACQUA AL 2,CATERING,WASHINGTON,DC,20003,"2015-10-01","$1282",X
ADMINISTRATOR UNEMPLOYMENT COMPENSATION,PAYROLL TAXES,HARTFORD,CT,06104,"2015-04-17","$282", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT,NEWARK,NJ,07101,"2015-10-14","$172", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT,NEWARK,NJ,07101,"2015-08-03","$231", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT,NEWARK,NJ,07101,"2015-08-03","$98", 
AMTRAK,TRAVEL,NEW HAVEN,CT,06511,"2015-03-19","$486",X
ARCHIE MOORE'S BAR & RESTAURANT,CATERING,NEW HAVEN,CT,06511,"2015-03-06","$553",X
ASSOCIATED IRISH SOCIETIES,PRINT ADVERTISMENT,NEW HAVEN,CT,06501,"2015-03-26","$100", 
ASSOCIATED IRISH SOCIETIES,PRINT ADVERTISEMENT,NEW HAVEN,CT,06501,"2015-02-20","$175", 
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-12-21","$30",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-11-06","$87",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-12-21","$27",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-10-08","$57",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-08-07","$57",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-07-10","$57",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-09-11","$147",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-06-05","$27",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-05-15","$87",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-04-17","$57",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-02-19","$30",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-01-12","$117",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-03-19","$87",X
AT&T,PHONE BILL,CAROL STREAM,IL,60197,"2015-02-19","$27",X
"BAROCAS-MAYER, MELANIE MS.",EVENT CATERING AND SUPPLIES,GUILFORD,CT,06437,"2015-05-17","$980", 
"BARRETT, BRUCE A MR.",EVENT SPACE AND CATERING,MILFORD,CT,06460,"2015-06-22","$341", 
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-03-19","$258",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-05-15","$254",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-12-21","$56",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-10-08","$91",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-01-12","$164",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-07-21","$11",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-09-11","$321",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-07-10","$266",X
BJ'S WHOLESALE,EVENT SUPPLIES,NEW HAVEN,CT,06519,"2015-11-23","$15",X
"BLOSS, KATHLEEN MS.",EVENT CATERING,GUILFORD,CT,06437,"2015-05-30","$654", 
BUDGET RENT-A-CAR,TRAVEL,PARSIPPANY,NJ,07054,"2015-07-28","$54",X
