Payee Name,Purpose,City,State,Zip,Payment Date,Amount,Memo Code
ACQUA AL 2,EVENT CATERING,WASHINGTON,DC,20003,"2015-07-16","$783",X
ACQUA AL 2,EVENT CATERING,WASHINGTON,DC,20003,"2015-03-19","$1829",X
ACTBLUE TECHNICAL SERVICES,CREDIT CARD PROCESSING FEE,CAMBRIDGE,MA,02238,"2015-10-05","$198", 
ACTBLUE TECHNICAL SERVICES,CREDIT CARD PROCESSING FEE,CAMBRIDGE,MA,02238,"2015-10-01","$213", 
AMBAR,EVENT CATERING,WASHINGTON,DC,20003,"2015-03-19","$1000",X
AMBAR,MEALS,WASHINGTON,DC,20003,"2015-08-18","$41",X
AMBAR,EVENT SPACE AND CATERING,WASHINGTON,DC,20003,"2015-04-20","$1684",X
AMERICAN COUNCIL OF LIFE INSURERS POLITICAL ACTION COMMITTEE,EVENT SPACE RENTAL & STAFF TIME,WASHINGTON,DC,20001,"2015-06-18","$675",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-02-18","$172",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-01-16","$86",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-04-20","$246",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-01-16","$123",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-04-20","$123",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-04-20","$153",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-09-01","$292",X
AMTRAK,TRAVEL,WASHINGTON,DC,20002,"2015-07-07","$292",X
ANTHEM BLUE CROSS AND BLUE SHIELD,HEALTH INSURANCE,NEWARK,NJ,07101,"2015-02-18","$311",X
ANTHEM BLUE CROSS AND BLUE SHIELD,HEALTH INSURANCE,NEWARK,NJ,07101,"2015-03-19","$311",X
ANTHEM BLUE CROSS AND BLUE SHIELD,HEALTH INSURANCE,NEWARK,NJ,07101,"2015-05-20","$311",X
