Payee Name,Purpose,City,State,Zip,Payment Date,Amount,Memo Code
(A)SQUARESTUDIO,WEB DESIGN SERVICES,MIDDLETOWN,CT,06457,"2015-08-31","$1031", 
(A)SQUARESTUDIO,WEB DESIGN SERVICES,MIDDLETOWN,CT,06457,"2015-10-22","$1031", 
(A)SQUARESTUDIO,WEB DESIGN SERVICES,MIDDLETOWN,CT,06457,"2015-09-24","$1031", 
ACQUA AL 2,POLITICAL MEALS,WASHINGTON,DC,20003,"2015-02-12","$30",X
ACQUA AL 2,POLITICAL MEALS,WASHINGTON,DC,20003,"2015-01-18","$58",X
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEES AND EXPENSES,WASHINGTON,DC,22220,"2015-10-14","$7076", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING AND EXPENSES,WASHINGTON,DC,22220,"2015-05-07","$5668", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING AND EXPENSES,WASHINGTON,DC,22220,"2015-04-09","$4985", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING AND EXPENSES,WASHINGTON,DC,22220,"2015-06-04","$8360", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEES AND EXPENSES,WASHINGTON,DC,22220,"2015-12-18","$15000", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEE AND EXPENSES,WASHINGTON,DC,22220,"2015-08-07","$12868", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEES AND EXPENSES,WASHINGTON,DC,22220,"2015-11-25","$5173", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING,WASHINGTON,DC,22220,"2015-03-19","$2000", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING,WASHINGTON,DC,22220,"2015-03-06","$3867", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEES AND EXPENSES,WASHINGTON,DC,22220,"2015-10-10","$8755", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING FEE AND EXPENSES,WASHINGTON,DC,22220,"2015-07-27","$10754", 
"ADVANCED NETWORK STRATEGIES, LLC",FUND RAISING,WASHINGTON,DC,22220,"2015-03-10","$1286", 
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-07-06","$30", 
AMAZON,BOOKS,SEATTLE,WA,98101,"2015-01-08","$132",X
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-03-02","$43", 
AMAZON,BOOK,SEATTLE,WA,98101,"2014-12-13","$13",X
AMAZON,SOFTWARE,SEATTLE,WA,98101,"2015-02-25","$115", 
AMAZON,SOFTWARE,SEATTLE,WA,98101,"2015-02-25","$101", 
AMAZON,SOFTWARE,SEATTLE,WA,98101,"2015-02-20","$43", 
AMAZON,EQUIPMENT,SEATTLE,WA,98101,"2015-02-09","$749", 
AMAZON,EQUIPMENT,SEATTLE,WA,98101,"2015-02-20","$710", 
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-12-31","$130", 
AMAZON,LAPTOP,SEATTLE,WA,98101,"2015-12-07","$460",X
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-11-16","$9", 
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-11-10","$16", 
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-12-14","$13", 
AMAZON,SUPPLIES,SEATTLE,WA,98101,"2015-12-14","$14", 
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN AIRLINES,TRAVEL,WINDSOR LOCKS,CT,06196,"2015-10-01","$385",X
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-08-27","$1900", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-02-10","$5637", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-06-09","$3986", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-06-02","$8", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-10-01","$8", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT - SEE BELOW,NEWARK,NJ,07101,"2015-11-09","$8445", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-08-03","$8", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-07-02","$2019", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-03-02","$8", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-08-06","$3308", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-08-05","$152", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-03-05","$30", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-07-06","$10", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-01-09","$7138", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-07-01","$8", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-09-21","$3", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-09-01","$8", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-05-01","$8", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-12-10","$10290", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-04-06","$108", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-04-01","$8", 
AMERICAN EXPRESS,SERVICE CHARGE,NEWARK,NJ,07101,"2015-10-05","$3", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-04-09","$2193", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-10-05","$7465", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-03-06","$3599", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-05-05","$92", 
AMERICAN EXPRESS,SERVICE FEE,NEWARK,NJ,07101,"2015-06-05","$43", 
