Payee Name,Purpose,City,State,Zip,Payment Date,Amount,Memo Code
AMERICAN AIRLINES,TRAVEL - OFFICIALLY CONNECTED,WINDSOR LOCKS,CT,06196,"2015-10-16","$418",X
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-09-08","$227", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-11-09","$288", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-11-09","$745", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-06-09","$464", 
AMERICAN EXPRESS,CREDIT CARD PAYMENT (SEE BELOW),NEWARK,NJ,07101,"2015-08-06","$643", 
AMTRAK CHARTER SERVICES,OFFICIALLY CONNECTED - TRAVEL,PHILADELPHIA,PA,19104,"2015-03-01","$412",X
BAYSTATE HEALTH FOUNDATION,CONTRIBUTION,SPRINGFIELD,MA,01199,"2015-04-09","$1000", 
BERA FOR CONGRESS,CONTRIBUTION,ELK GROVE,CA,95758,"2015-07-20","$1000", 
BIKE TO THE BEACH,CONTRIBUTION,WASHINGTON,DC,20006,"2015-07-27","$2500", 
BRAD ASHFORD FOR CONGRESS,CONTRIBUTION,OMAHA,NE,68124,"2015-07-28","$1000", 
CAIN FOR CONGRESS,CONTRIBUTION,BANGOR,ME,04402,"2015-05-20","$2000", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-10-01","$2092", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-01-06","$1704", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW) - OFFICIALLY CONNECTED,PHILADELPHIA,PA,19101,"2015-05-06","$2026", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-01-29","$1298", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-03-04","$1902", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-11-04","$2160", 
CARD SERVICES,CREDIT CARD PAYMENT - SEE BELOW,PHILADELPHIA,PA,19101,"2015-12-03","$2243", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-07-02","$2066", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-07-30","$1741", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-04-01","$3861", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-06-03","$2933", 
CARD SERVICES,CREDIT CARD PAYMENT (SEE BELOW),PHILADELPHIA,PA,19101,"2015-09-02","$1459", 
CCSU FOUNDATION,CONTRIBUTION,NEW BRITAIN,CT,06053,"2015-10-15","$1000", 
CCSU STUDENT CENTER,OFFICIALLY CONNECTED - FOOD AND BEVERAGE,NEW BRITAIN,CT,06050,"2015-05-21","$253", 
CENTRAL CT CELTIC CULTURAL COMM.,CONTRIBUTION,ROCKY HILL,CT,06067,"2015-02-08","$2500", 
CROWLEY FOR CONGRESS,CONTRIBUTION,ELMHURST,NY,11373,"2015-09-18","$1000", 
CROWLEY FOR CONGRESS,TRAVEL - IN-KIND CONTRIBUTION,ELMHURST,NY,11373,"2015-11-09","$745",X
DELBENE FOR CONGRESS,CONTRIBUTION,BOTHELL,WA,98041,"2015-07-30","$2000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-01-21","$25000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-02-12","$5000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-03-25","$15000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-02-12","$5000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-09-30","$50000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-12-18","$25000", 
DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE-CONTRIBUTIONS,TRANSFER OF FUNDS,WASHINGTON,DC,20003,"2015-06-11","$25000", 
DEMOCRATIC STATE CENTRAL COMMITTEE - FED. ACCOUNT,TRANSFER OF FUNDS,HARTFORD,CT,06116,"2015-12-30","$5000", 
DOYLE FOR CONGRESS COMMITTEE,TRAVEL - IN-KIND CONTRIBUTION,PITTSBURGH,PA,15218,"2015-11-09","$288",X
DR. RAUL RUIZ FOR CONGRESS,CONTRIBUTION,LA QUINTA,CA,92248,"2015-03-25","$1000", 
DR. RAUL RUIZ FOR CONGRESS,CONTRIBUTION,LA QUINTA,CA,92248,"2015-06-25","$1000", 
